X                    Y                    Z                    Dose [pSv/h]                             Rel. Error                 
-2189,26             378,51               -614,45              3,477709E+10                             5,660089E-03               
-2178,97             378,51               -614,45              3,498474E+10                             5,708001E-03               
-2168,68             378,51               -614,45              3,51848E+10                              5,737821E-03               
-2158,39             378,51               -614,45              3,538116E+10                             5,759328E-03               
-2148,1              378,51               -614,45              3,558307E+10                             5,788603E-03               
-2137,81             378,51               -614,45              3,577033E+10                             5,795777E-03               
-2127,52             378,51               -614,45              3,596548E+10                             5,816933E-03               
-2117,23             378,51               -614,45              3,615913E+10                             5,834807E-03               
-2415,63             387,86               -614,45              3,029728E+10                             4,546516E-03               
-2405,34             387,86               -614,45              3,049668E+10                             4,604699E-03               
-2395,05             387,86               -614,45              3,069458E+10                             4,660959E-03               
-2384,76             387,86               -614,45              3,089111E+10                             4,711838E-03               
-2374,47             387,86               -614,45              3,109611E+10                             4,777101E-03               
-2364,18             387,86               -614,45              3,129827E+10                             4,832424E-03               
-2353,89             387,86               -614,45              3,150002E+10                             4,886316E-03               
-2343,6              387,86               -614,45              3,170488E+10                             4,944239E-03               
-2333,31             387,86               -614,45              3,190604E+10                             4,996439E-03               
-2323,02             387,86               -614,45              3,211664E+10                             5,06276E-03                
-2312,73             387,86               -614,45              3,232505E+10                             5,115945E-03               
-2302,44             387,86               -614,45              3,253071E+10                             5,173356E-03               
-2292,16             387,86               -614,45              3,273925E+10                             5,226442E-03               
-2281,87             387,86               -614,45              3,294877E+10                             5,282961E-03               
-2271,58             387,86               -614,45              3,315829E+10                             5,342498E-03               
-2261,29             387,86               -614,45              3,336298E+10                             5,382495E-03               
-2251                387,86               -614,45              3,357302E+10                             5,43789E-03                
-2240,71             387,86               -614,45              3,37823E+10                              5,492834E-03               
-2230,42             387,86               -614,45              3,398835E+10                             5,536314E-03               
-2220,13             387,86               -614,45              3,419943E+10                             5,591165E-03               
-2209,84             387,86               -614,45              3,440584E+10                             5,633286E-03               
-2199,55             387,86               -614,45              3,460894E+10                             5,667763E-03               
-2189,26             387,86               -614,45              3,481783E+10                             5,710942E-03               
-2178,97             387,86               -614,45              3,501991E+10                             5,749912E-03               
-2168,68             387,86               -614,45              3,522174E+10                             5,785261E-03               
-2158,39             387,86               -614,45              3,542241E+10                             5,811519E-03               
-2148,1              387,86               -614,45              3,56234E+10                              5,844546E-03               
-2137,81             387,86               -614,45              3,581718E+10                             5,86157E-03                
-2127,52             387,86               -614,45              3,602076E+10                             5,895889E-03               
-2117,23             387,86               -614,45              3,620773E+10                             5,898735E-03               
-2415,63             397,21               -614,45              3,031038E+10                             4,549848E-03               
-2405,34             397,21               -614,45              3,050604E+10                             4,602972E-03               
-2395,05             397,21               -614,45              3,070653E+10                             4,661161E-03               
-2384,76             397,21               -614,45              3,090617E+10                             4,717722E-03               
-2374,47             397,21               -614,45              3,110721E+10                             4,774916E-03               
-2364,18             397,21               -614,45              3,130996E+10                             4,830923E-03               
-2353,89             397,21               -614,45              3,151464E+10                             4,890245E-03               
-2343,6              397,21               -614,45              3,17208E+10                              4,949125E-03               
-2333,31             397,21               -614,45              3,192756E+10                             5,009931E-03               
-2323,02             397,21               -614,45              3,213134E+10                             5,064875E-03               
-2312,73             397,21               -614,45              3,234006E+10                             5,123441E-03               
-2302,44             397,21               -614,45              3,255298E+10                             5,190009E-03               
-2292,16             397,21               -614,45              3,275785E+10                             5,237552E-03               
-2281,87             397,21               -614,45              3,297195E+10                             5,301897E-03               
-2271,58             397,21               -614,45              3,318279E+10                             5,364511E-03               
-2261,29             397,21               -614,45              3,33916E+10                              5,41655E-03                
-2251                397,21               -614,45              3,3603E+10                               5,472125E-03               
-2240,71             397,21               -614,45              3,381259E+10                             5,523979E-03               
-2230,42             397,21               -614,45              3,402174E+10                             5,571356E-03               
-2220,13             397,21               -614,45              3,423346E+10                             5,62948E-03                
-2209,84             397,21               -614,45              3,444438E+10                             5,680942E-03               
-2199,55             397,21               -614,45              3,465139E+10                             5,723928E-03               
-2189,26             397,21               -614,45              3,486331E+10                             5,78214E-03                
-2178,97             397,21               -614,45              3,506454E+10                             5,812829E-03               
-2168,68             397,21               -614,45              3,526833E+10                             5,851767E-03               
-2158,39             397,21               -614,45              3,547373E+10                             5,891136E-03               
-2148,1              397,21               -614,45              3,567835E+10                             5,921377E-03               
-2137,81             397,21               -614,45              3,587734E+10                             5,947969E-03               
-2127,52             397,21               -614,45              3,606842E+10                             5,965018E-03               
-2117,23             397,21               -614,45              3,626651E+10                             5,987101E-03               
-2415,63             406,57               -614,45              3,031912E+10                             4,54599E-03                
-2405,34             406,57               -614,45              3,051821E+10                             4,602799E-03               
-2395,05             406,57               -614,45              3,071543E+10                             4,658511E-03               
-2384,76             406,57               -614,45              3,091869E+10                             4,717485E-03               
-2374,47             406,57               -614,45              3,111961E+10                             4,772556E-03               
-2364,18             406,57               -614,45              3,132578E+10                             4,837956E-03               
-2353,89             406,57               -614,45              3,153158E+10                             4,896058E-03               
-2343,6              406,57               -614,45              3,173651E+10                             4,95613E-03                
-2333,31             406,57               -614,45              3,19445E+10                              5,019889E-03               
-2323,02             406,57               -614,45              3,215184E+10                             5,079833E-03               
-2312,73             406,57               -614,45              3,236535E+10                             5,147054E-03               
-2302,44             406,57               -614,45              3,257434E+10                             5,205115E-03               
-2292,16             406,57               -614,45              3,278775E+10                             5,270971E-03               
-2281,87             406,57               -614,45              3,299683E+10                             5,327589E-03               
-2271,58             406,57               -614,45              3,320834E+10                             5,388388E-03               
-2261,29             406,57               -614,45              3,342268E+10                             5,45636E-03                
-2251                406,57               -614,45              3,36347E+10                              5,50916E-03                
-2240,71             406,57               -614,45              3,384692E+10                             5,569865E-03               
-2230,42             406,57               -614,45              3,405677E+10                             5,621417E-03               
-2220,13             406,57               -614,45              3,427937E+10                             5,697812E-03               
-2209,84             406,57               -614,45              3,448259E+10                             5,73484E-03                
-2199,55             406,57               -614,45              3,469545E+10                             5,792263E-03               
-2189,26             406,57               -614,45              3,490415E+10                             5,835698E-03               
-2178,97             406,57               -614,45              3,511439E+10                             5,891718E-03               
-2168,68             406,57               -614,45              3,532277E+10                             5,935532E-03               
-2158,39             406,57               -614,45              3,552539E+10                             5,965792E-03               
-2148,1              406,57               -614,45              3,572969E+10                             6,007348E-03               
-2137,81             406,57               -614,45              3,592817E+10                             6,025044E-03               
